City,Item,Price
Chennai,3 BHK in City Centreper month,"₹55,000"
Chennai,3 BHK Outside City Centreper month,"₹28,000"
Chennai,Home Loan EMI (2BHK avg)per month,"₹51,000"
Chennai,PG - Private Room (with meals)per month,"₹12,000"
Chennai,PG - Private Room (without meals)per month,"₹9,000"
Chennai,PG - Double Sharing (with meals)per month,"₹8,500"
Chennai,PG - Double Sharing (without meals)per month,"₹6,500"
Chennai,PG - Triple Sharing (with meals)per month,"₹6,500"
Chennai,PG - Triple Sharing (without meals)per month,"₹5,000"
Chennai,"Cook (part-time, 2 meals/day)per month","₹5,500"
Chennai,Maid / Cleaning Helpper month,"₹2,000"
Chennai,Laundry / Ironing (dhobi)per month,"₹1,000"
Chennai,Miscellaneous Monthly Spendper month,"₹2,000"
Chennai,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Chennai,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Chennai,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Chennai,Skincare Basics (Nykaa avg)per month,"₹1,200"
Chennai,Amazon Prime Membershipper month,₹149
Chennai,Gym Membershipper month,"₹1,800"
Chennai,Movie Ticket (Multiplex)per ticket,₹200
Chennai,Netflix (Standard Plan)per month,₹649
Chennai,Spotify Premiumper month,₹119
Chennai,"Haircut (Men, basic salon)per cut",₹120
Chennai,"Domestic Beer (pint, restaurant)per pint",₹200
Chennai,"Imported Beer (bottle, restaurant)per bottle",₹380
Hyderabad,Veg Thali (local restaurant)per plate,₹100
Hyderabad,Non-Veg Thali (local restaurant)per plate,₹170
Hyderabad,Meal for Two (high-end restaurant)per meal,"₹1,200"
Hyderabad,Chai (regular cup)per cup,₹12
Hyderabad,Coffee (Cappuccino)per cup,₹175
Hyderabad,Specialty Coffee (Third Wave)per cup,₹250
Hyderabad,Street Food (Vada Pav / Samosa)per piece,₹15
Hyderabad,Biryani (chicken)per plate,₹180
Hyderabad,Dosa (plain)per plate,₹55
Hyderabad,Fast Food Combo (McDonald's)per meal,₹250
Hyderabad,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Hyderabad,Bottled Water (1 litre)per bottle,₹20
Hyderabad,Rice (Basmati)1 kg,₹95
Hyderabad,Wheat Flour (Atta)1 kg,₹48
Hyderabad,Toor Dal1 kg,₹148
Hyderabad,Milk (Full Cream)1 litre,₹54
Hyderabad,Eggs12 pcs,₹72
Hyderabad,Chicken1 kg,₹220
Hyderabad,Paneer1 kg,₹360
Hyderabad,Onions1 kg,₹32
Hyderabad,Tomatoes1 kg,₹38
Hyderabad,Potatoes1 kg,₹30
Hyderabad,Cooking Oil (Sunflower)1 litre,₹150
Hyderabad,Sugar1 kg,₹44
Hyderabad,Apples (Shimla)1 kg,₹210
Hyderabad,Bananas1 dozen,₹45
Hyderabad,"Bread (White, Sliced)1 loaf",₹42
Hyderabad,Whey Protein (1 kg)per kg,"₹3,000"
Hyderabad,Auto Rickshaw (minimum fare)per ride,₹25
Hyderabad,Auto Rickshaw (per km after min)per km,₹12
Hyderabad,Metro / Local Train (monthly pass)per month,"₹1,100"
Hyderabad,Bus (monthly pass)per month,₹700
Hyderabad,Ola/Uber (avg ride)per ride,₹200
Hyderabad,Petrol1 litre,₹109
Hyderabad,Diesel1 litre,₹97
Hyderabad,Two Wheeler EMI (avg)per month,"₹3,500"
Hyderabad,Car EMI (avg)per month,"₹15,000"
Hyderabad,Electricityper month,"₹1,700"
Hyderabad,Water Billper month,₹300
Hyderabad,Cooking Gas (LPG Cylinder)per cylinder,₹803
Hyderabad,Broadband Internetper month,₹850
Hyderabad,Mobile Plan (Jio/Airtel)per month,₹349
Hyderabad,1 BHK in City Centreper month,"₹16,000"
Hyderabad,1 BHK Outside City Centreper month,"₹9,000"
Hyderabad,2 BHK in City Centreper month,"₹28,000"
Hyderabad,2 BHK Outside City Centreper month,"₹16,000"
Hyderabad,3 BHK in City Centreper month,"₹50,000"
Hyderabad,3 BHK Outside City Centreper month,"₹26,000"
Hyderabad,Home Loan EMI (2BHK avg)per month,"₹42,000"
Hyderabad,PG - Private Room (with meals)per month,"₹12,000"
Hyderabad,PG - Private Room (without meals)per month,"₹9,000"
Hyderabad,PG - Double Sharing (with meals)per month,"₹8,000"
Hyderabad,PG - Double Sharing (without meals)per month,"₹6,000"
Hyderabad,PG - Triple Sharing (with meals)per month,"₹6,000"
Hyderabad,PG - Triple Sharing (without meals)per month,"₹4,500"
Hyderabad,"Cook (part-time, 2 meals/day)per month","₹5,000"
Hyderabad,Maid / Cleaning Helpper month,"₹2,000"
Hyderabad,Laundry / Ironing (dhobi)per month,"₹1,000"
Hyderabad,Miscellaneous Monthly Spendper month,"₹2,000"
Hyderabad,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Hyderabad,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Hyderabad,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Hyderabad,Skincare Basics (Nykaa avg)per month,"₹1,200"
Hyderabad,Amazon Prime Membershipper month,₹149
Hyderabad,Gym Membershipper month,"₹1,500"
Hyderabad,Movie Ticket (Multiplex)per ticket,₹200
Hyderabad,Netflix (Standard Plan)per month,₹649
